PID,Time_Bin,Mean_RSSI,Median_RSSI,Std_RSSI,Var_RSSI,Max_RSSI,Min_RSSI,Mean_Time_Interval,Std_Time_Interval,Unique_Locations,RSSI_Count,Counterfeit
PID002B,2019-07-30 11:48:30,-64.57904761904761,-64.0,0.8896406371934426,1.199496442255063,-54.0,-76.0,1.012413793103448,0.004221689247033982,2,3109.0,0
PID006,2019-08-01 15:17:00,-64.48683813443073,-64.0,0.9423517955959314,1.2591365574730835,-53.0,-79.0,1.0176206896551723,0.00766911148282254,2,3193.0,0
PID002A,2019-07-24 12:39:00,-64.64175262832406,-64.0,1.3938904355409425,3.487758059127517,-54.0,-78.0,1.0126896551724138,0.0055940239048717045,2,4113.0,0
PID002E,2019-07-30 15:16:00,-64.58801850514602,-65.0,0.9283910752768821,1.1940977963456818,-54.0,-77.0,1.0106785714285715,0.0034859885831879174,2,3030.0,0
PID001,2019-07-24 10:01:30,-64.59715649314188,-64.0,1.1420232205181435,2.2471678713284553,-54.0,-78.0,1.0651111111111111,0.05877554000231818,1,3822.0,0
PID006,2019-08-01 15:51:30,-64.38677661169415,-64.0,0.841705803330014,0.9170758776455926,-55.0,-77.0,1.0119642857142856,0.004358747210917059,1,2875.0,0
PID004,2019-07-31 16:13:30,-64.59417475728154,-64.0,0.7396646818200642,0.7390246624260685,-56.0,-78.0,1.0121724137931034,0.007030895927045566,1,3008.0,0
PID004,2019-07-31 15:56:00,-64.69868587531631,-64.5,1.277266062554881,2.3366220322065927,-55.0,-76.0,1.0117931034482759,0.00418653718436361,2,3156.0,0
PID005,2019-08-01 12:10:30,-64.08366408566079,-63.5,0.9560449983560352,1.1890899098366137,-53.0,-78.0,1.0123571428571427,0.006325810067957553,3,2968.0,0
PID002A,2019-07-24 12:31:00,-64.75231193926845,-65.0,1.2512945395838306,2.728436020085196,-53.0,-77.0,1.010551724137931,0.00476284883909194,2,4027.0,0
PID002B,2019-07-30 11:51:00,-64.43959196610132,-65.0,0.930623798522142,1.038564391273751,-53.0,-78.0,0.9584583189732981,0.004050442525957464,2,3794.921715271001,1
PID001,2019-07-24 10:02:00,-64.59169722265564,-64.0,1.1076196266706473,2.153906448521053,-54.0,-79.0,1.050857142857143,0.04310857462673997,1,3929.0,0
PID003,2019-07-31 12:02:30,-64.7983100711549,-65.0,0.976003721633323,1.456751032873225,-54.0,-79.0,1.0100714285714285,0.0042507391202922734,2,3027.0,0
PID002B,2019-07-30 12:04:30,-64.7145677342083,-65.0,1.0820559842144406,1.9845607906436997,-53.0,-78.0,1.0112413793103447,0.004695401796391527,3,3259.0,0
